Microsoft (R) COFF/PE Dumper Version 14.00.23506.0
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    56540494 time date stamp Tue Nov 24 06:32:52 2015
        0.00 version
        1502 ordinal base
        1201 number of functions
         933 number of names

    ordinal hint RVA      name

       1915  197 00038B20 GetProcessWindowStation
       1916  198 0005CE30 GetProgmanWindow
       1917  199 0002FCE0 GetPropA
       1918  19A 00014820 GetPropW
       1919  19B 0001E1C0 GetQueueStatus
       1920  19C 00073BE0 GetRawInputBuffer
       1921  19D 0003C400 GetRawInputData
       1922  19E 00089200 GetRawInputDeviceInfoA
       1923  19F 0005EE30 GetRawInputDeviceInfoW
       1924  1A0 0003C420 GetRawInputDeviceList
       1925  1A1 0003C430 GetRawPointerDeviceData
       1926  1A2 00084080 GetReasonTitleFromReasonCode
       1927  1A3 0003C440 GetRegisteredRawInputDevices
       1928  1A4 00039220 GetScrollBarInfo
       1929  1A5 0002F180 GetScrollInfo
       1930  1A6 00031B50 GetScrollPos
       1931  1A7 000337E0 GetScrollRange
       1932  1A8 0005D180 GetSendMessageReceiver
       1933  1A9 0001FF60 GetShellWindow
       1934  1AA 00021FB0 GetSubMenu
       1935  1AB 0001E800 GetSysColor
       1936  1AC 00036E50 GetSysColorBrush
       1937  1AD 00038F00 GetSystemMenu
       1938  1AE 00019170 GetSystemMetrics
       1939  1AF 00069D80 GetTabbedTextExtentA
       1940  1B0 00069E20 GetTabbedTextExtentW
       1941  1B1 0005D3E0 GetTaskmanWindow
       1942  1B2 00039120 GetThreadDesktop
       1943  1B3 000391E0 GetTitleBarInfo
       1944  1B4 0003C450 GetTopLevelWindow
       1945  1B5 0002DA80 GetTopWindow
       1946  1B6 00060F00 GetTouchInputInfo
       1947  1B7 0005D450 GetUnpredictedMessagePos
       1948  1B8 00031270 GetUpdateRect
       1949  1B9 00030980 GetUpdateRgn
       1950  1BA 0003C480 GetUpdatedClipboardFormats
       1951  1BB 00034E60 GetUserObjectInformationA
